Country,Clicks,Impressions,CTR,Position
Bulgaria,1324,29594,4.47%,5.95
Russia,15,498,3.01%,15.25
Ukraine,12,320,3.75%,26.68
Germany,11,729,1.51%,26.31
Switzerland,4,738,0.54%,44.19
Turkey,4,58,6.9%,6.22
Austria,3,270,1.11%,36.66
Belarus,3,88,3.41%,10.6
Hungary,2,86,2.33%,16.38
Serbia,2,75,2.67%,3.37
Greece,2,37,5.41%,6.54
Slovenia,2,19,10.53%,18.37
Finland,2,17,11.76%,3.41
Albania,2,10,20%,10.9
United States,1,122,0.82%,15.36
Netherlands,1,120,0.83%,14.28
United Kingdom,1,114,0.88%,11.87
Spain,1,104,0.96%,9.45
France,1,87,1.15%,10.6
Romania,1,76,1.32%,21.24
Belgium,1,51,1.96%,6.51
Latvia,1,47,2.13%,19.51
Moldova,1,40,2.5%,5.85
Czechia,1,35,2.86%,9.14
Estonia,1,30,3.33%,7.63
Canada,1,23,4.35%,15.52
Macedonia,1,20,5%,4.2
Unknown Region,1,16,6.25%,5.19
Kosovo,1,13,7.69%,5.85
Cyprus,1,10,10%,2.2
Israel,1,8,12.5%,25.62
Montenegro,1,6,16.67%,6.83
Nicaragua,1,2,50%,13.5
Poland,0,203,0%,21.61
Italy,0,142,0%,28.1
India,0,116,0%,46.7
Indonesia,0,80,0%,53.49
Philippines,0,75,0%,51.65
Vietnam,0,53,0%,43.74
Brazil,0,48,0%,20.1
Argentina,0,42,0%,44.79
Colombia,0,39,0%,57.33
South Korea,0,36,0%,52.5
Lithuania,0,31,0%,8.9
Algeria,0,25,0%,44.52
Slovakia,0,23,0%,9.7
Australia,0,22,0%,21.32
Bangladesh,0,20,0%,48.5
Sweden,0,19,0%,18.89
Egypt,0,19,0%,51.89
Kazakhstan,0,18,0%,11.33
Morocco,0,16,0%,6.12
Portugal,0,16,0%,6.56
Bosnia & Herzegovina,0,16,0%,7.94
Tunisia,0,15,0%,9.93
Dominican Republic,0,15,0%,51.8
Croatia,0,14,0%,2.36
Ecuador,0,13,0%,50.08
Norway,0,11,0%,7.64
Thailand,0,11,0%,32.73
Mexico,0,10,0%,16.5
Japan,0,10,0%,27.3
Pakistan,0,9,0%,39.33
Uzbekistan,0,8,0%,25.88
Iraq,0,8,0%,57.62
Malaysia,0,7,0%,22.43
Chile,0,7,0%,24.71
Peru,0,6,0%,13.33
Costa Rica,0,6,0%,56.17
Ireland,0,5,0%,3.8
Denmark,0,5,0%,4.4
Nigeria,0,5,0%,8
Taiwan,0,5,0%,10.6
Oman,0,5,0%,40.4
Georgia,0,5,0%,42.6
Hong Kong,0,4,0%,4.75
China,0,4,0%,7.25
Ethiopia,0,4,0%,22.5
Venezuela,0,4,0%,36
Guatemala,0,4,0%,76.5
Maldives,0,3,0%,4.33
Azerbaijan,0,3,0%,5.67
Malta,0,3,0%,6.67
Togo,0,3,0%,7.33
Luxembourg,0,3,0%,8.67
Kyrgyzstan,0,3,0%,28.33
Bolivia,0,3,0%,50.67
South Africa,0,3,0%,53
Mongolia,0,2,0%,2
Zimbabwe,0,2,0%,3
Turkmenistan,0,2,0%,3.5
Liechtenstein,0,2,0%,4.5
Côte d’Ivoire,0,2,0%,6
Qatar,0,2,0%,19
El Salvador,0,2,0%,19.5
Saudi Arabia,0,2,0%,28
Kenya,0,2,0%,46
Gabon,0,2,0%,52
Bahrain,0,2,0%,59
Syria,0,1,0%,1
Namibia,0,1,0%,3
Ghana,0,1,0%,4
Mali,0,1,0%,5
Antigua & Barbuda,0,1,0%,6
Iceland,0,1,0%,6
Mozambique,0,1,0%,7
Tanzania,0,1,0%,8
United Arab Emirates,0,1,0%,9
San Marino,0,1,0%,9
Armenia,0,1,0%,10
Bahamas,0,1,0%,10
Singapore,0,1,0%,11
Uganda,0,1,0%,21
Iran,0,1,0%,33
Burkina Faso,0,1,0%,48
Libya,0,1,0%,50
Honduras,0,1,0%,56
Curaçao,0,1,0%,86
Congo - Brazzaville,0,1,0%,93